"";"";"";"";"klaunzer";""
"264";"fédéral";"-0.0396632528860427";"-0.717189076715275";"0.836788484084337";"586"
"265";"vie";"-0.24300250570209";"-0.316398502600146";"0.836761690363299";"587"
"266";"entreprise";"-0.232828025254183";"-0.575138820054176";"0.836729255858883";"588"
"267";"baisser";"-0.220684573900798";"-0.632803261961163";"0.836652400185377";"589"
"268";"divertissement";"-0.419851225955926";"0.733568195045058";"0.83660586372252";"590"
"269";"cinématographique";"-0.419851225955926";"0.733568195045058";"0.83660586372252";"591"
"270";"venezuela";"-0.603314094567515";"-1.12761750453369";"0.836485291977845";"592"
"271";"homologue";"-0.603314094567515";"-1.12761750453369";"0.836485291977845";"593"
"272";"chareh";"-0.603314094567515";"-1.12761750453369";"0.836485291977845";"594"
"273";"augmenter";"0.00704839604478405";"-0.499552323996172";"0.836477535900702";"595"
"274";"conjoint";"-0.606341797355991";"-1.62753318751054";"0.836426768850312";"596"
"275";"démission";"-0.395607988524156";"-0.985366934937813";"0.836417602577325";"597"
"276";"crack";"-0.297764151728578";"-0.5463717343422";"0.836266006524079";"600"
"277";"cannabis";"-0.297764151728578";"-0.5463717343422";"0.836266006524079";"601"
"278";"grippe";"-0.319391525273687";"-0.621668402759223";"0.836090437141482";"603"
"279";"whatsapp";"-0.354874426562479";"-0.946098229430645";"0.836084091260183";"605"
"280";"vernier";"-0.392478199565886";"-0.899413187808234";"0.836084091260183";"606"
"281";"amende";"-0.354986846956929";"-0.654316776446217";"0.835959288927976";"607"
"282";"fraude";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"608"
"283";"hassan";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"609"
"284";"écologiste";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"610"
"285";"sutter";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"611"
"286";"pcsi";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"612"
"287";"keller";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"613"
"288";"kast";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"614"
"289";"karin";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"615"
"290";"jetten";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"616"
"291";"ignazio";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"617"
"292";"district";"-0.369681746182535";"-1.01759000123865";"0.835708274067716";"618"
"293";"politique";"-0.224891530385317";"-0.776438017586401";"0.8355736003646";"619"
"294";"douane";"-0.196733829511723";"-1.12497163914929";"0.835364186281743";"620"
"295";"efficacité";"-0.334513293750414";"-0.673849827549416";"0.835258421593432";"621"
"296";"importance";"0.12650925552212";"-0.447245421207096";"0.835199898465899";"622"
"297";"décisif";"-1.04293555533059";"3.01756348244567";"0.83505746868564";"626"
